id_producto,nombre,categoria, precio_mxn ,stock_disponible,descripcion
PROD-124,Tienda de Campaña Familiar 4 Personas,Deportes y Aire Libre," $1,299.00 ",25,Carpa impermeable con cubrtecho completo y fácil armado para campamentos.
PROD-125,Patineta Eléctrica Scooter Urbano,Movilidad," $5,899.00 ",18,"Scooter con motor eléctrico,  velocidad máxima de 25 km/h y luces LED de seguridad nocturna."
PROD-126,Taladro Atornillador Inalámbrico 20V,Herramientas," $1,699.00 ",40,"Taladro con batería de ion de litio,  velocidad variable y estuche con puntas y brocas."
PROD-127,Hidrolavadora de Alta Presión,Herramientas," $2,299.00 ",20,Equipo de limpieza para exteriores con manguera de alta presión y boquilla ajustable.
PROD-128,Caja de Herramientas Metálica 5 Charolas,Herramientas, $899.00 ,45,Organizador portátil de acero resistente con chapa de seguridad para herramienta manual.
PROD-129,Juego de Sartenes Antiadherentes 5 Pzas,Cocina, $799.00 ,55,Sartenes de aluminio con revestimiento ecológico libre de PFOA y distribución uniforme de calor.
PROD-131,Batería de Cocina de Acero Inoxidable 12 Pzas,Cocina," $2,499.00 ",22,Ollas y cacerolas con tapas de vidrio templado aptas para estufas de inducción y gas.
PROD-132,Motocicleta Urbana 150cc,Motos y Movilidad," $32,999.00 ",5,"Motocicleta de transmisión manual de 5 velocidades, ideal para ciudad con rendimiento optimizado de combustible."
PROD-133,Sala Modular Contemporánea 3 Piezas,Muebles y Hogar," $8,999.00 ",7,Sala esquinera tapizada en tactopiel de alta durabilidad con estructura de madera de pino reforzada.
PROD-134,Colchón Matrimonial Ortopédico,Muebles y Hogar," $4,599.00 ",14,Colchón con tecnología de soporte lumbar avanzado y tela antiácaros para un descanso óptimo.
PROD-135,Smartphone 128GB Cámara 50MP,Tecnología," $4,999.00 ",22,"Teléfono inteligente libre de fábrica con procesador octa-core, gran batería y pantalla FHD+."
PROD-136,Licuadora de Alta Potencia 2 Velocidades,Línea Blanca y Electrónica, $899.00 ,40,Licuadora con vaso de vidrio resistente y cuchillas de acero inoxidable para molienda fina.
